Common_name,Species_Name,Minimum_time_cultivation,Primary_use (Historic),Secondary_use,Current_use,No_Food_Uses,No_Non_Food_Uses,No_Total_Uses,Multi-uses_codes,Biogeographic_Region,Major(1)/Minor(0),Area_Grown_(ha),Sources_additional_uses,Access_Date,,,,
Annato,Bixa orellana,5000,K,T,K,2,3,5,"D, M, I, K, P",Neotropic,0,0,,18/03/2021,,,,
Cidra_chilacayote,Cucurbita ficifolia,5000,F,P,F,3,1,4,"M, F, P, O",Neotropic,0,0,,18/03/2021,,,,
Soybean,Glycine max,5000,P,B,P,5,5,10,"M, T, PP, I, TX, V, O, P, B, K",Palearctic,1,113705828.9,,18/03/2021,,,,
Short_staple_cotton,Gossypium herbaceum,5000,N,P,N,3,6,9,"M, TX, PP, I, T, D, V, O, P",Afrotropic,0,0,,18/03/2021,,,,
Sunflower,Helianthus annuus,5000,O,P,O,3,5,8,"M, I, PP, D, T, O, P, V",Nearctic,1,25686799.09,,18/03/2021,,,,
Sumpweed,Iva annua,5000,P,NA,P,1,0,1,P,Nearctic,0,0,,18/03/2021,,,,
Alfalfa_for_fodder,Medicago sativa,5000,A,V,A,4,5,9,"M, PP, I, T, D, V, O, S, B",Palearctic,0,0,,18/03/2021,,,,
Basil,Ocimum basilicum,5000,K,B,K,4,1,5,"M, K, V, B, O",Afrotropic,0,0,,18/03/2021,,,,
Black_pepper,Piper nigrum,5000,K,O,K,2,1,3,"M, K, O ",Indo_malay,1,572020.3636,,18/03/2021,,,,
Apricot,Prunus armeniaca,5000,F,P,F,3,3,6,"M, I, D, F, O, S",Indo_malay,1,564133.0909,,18/03/2021,,,,
Radish,Raphanus raphanistrum,5000,K,P,K,3,1,4,"M, K, V, P",Palearctic,0,0,,18/03/2021,,,,
Scarlet_eggplant,Solanum aethiopicum,5000,V,NA,V,1,0,1,V,Afrotropic,0,0,,18/03/2021,,,,
Gboma_eggplant,Solanum macrocarpon,5000,V,N,V,1,1,2,"M, V",Afrotropic,0,0,5,18/03/2021,,,,
Eggplant,Solanum melongena,5000,V,N,V,1,1,2,"M, V",Indo_malay,1,2546735.455,,18/03/2021,,,,
Sudangrass,Sorghum drummondii,5000,A,T,A,0,2,2,"A, T",NA,0,0,7,18/03/2021,,,,
Adzuki_bean,Vigna angularis,5000,P,C,P,3,1,4,"M, P, V, C",Palearctic,0,0,18,18/03/2021,,,,
Ginger,Zingiber officinale,5000,K,B,K,2,1,3,"M, K, B",Indo_malay,1,370453,,18/03/2021,,,,
Japanese_pie_pumpkin,Cucurbita argyrosperma,5100,V,P,V,3,1,4,"M, V, P, O",Neotropic,0,0,,18/03/2021,,,,
Dandelion,Taraxacum campylodes,5100,B,N,B,2,4,6,"M, T, I, D, V, B",Palearctic,0,0,,18/03/2021,,,,
Chestnut,Castanea sativa,5200,P,C,P,2,3,5,"M, I, TB, P, C",Palearctic,1,820033.1818,,18/03/2021,,,,
Hyacinth_bean,Lablab purpureus,5200,P,V,P,3,2,5,"M, T, P, V, R ",Afrotropic,0,0,,18/03/2021,,,,
Persimmon,Diospyros kaki,5300,F,P,F,2,2,4,"M, TB, F, P",Indo_malay,1,1676772.455,6,18/03/2021,,,,
Cocoa_cacao,Theobroma cacao,5300,B,K,B,4,7,11,"P, O, B, M, K, T, TX, TB, I, A, RD",Neotropic,1,9660752.455,,13/03/2021,,,,
Cainito_star_apple,Chrysophyllum cainito,5400,F,N,F,1,4,5,F M TB T PP,Neotropic,0,0,,19/03/2021,,,,
Vanilla,Vanilla planifolia,5400,K,N,K,2,2,4,M I S K,NA,1,93330.72727,,19/03/2021,,,,
Cola,Cola nitida,5500,B,N,B,2,4,6,M I TB T B K ,Afrotropic,0,0,,19/03/2021,,,,
Oil_palm,Elaeis guineensis,5500,O,N,O,3,4,7,M I PP T V Q O,Afrotropic,0,0,,19/03/2021,,,,
Seed_cotton,Gossypium hirsutum,5500,N,P,N,2,4,6,P O M T TX I,Neotropic,1,37449453.36,,19/03/2021,,,,
Pistachio,Pistacia vera,5500,P,K,P,3,2,5,K M I O P,Palearctic,1,579273.3636,,19/03/2021,,,,
Pomegranate,Punica granatum,5500,F,N,F,3,3,6,M TB D K F B ,Palearctic,1,5520932.545,,19/03/2021,,,,
Sesame,Sesamum indicum,5500,O,P,O,3,2,5,V M I P O,Indo_malay,1,9299062.727,,19/03/2021,,,,
Pitaya,Stenocereus queretaroensis,5500,F,NA,F,1,0,1,F,NA,0,0,15,19/03/2021,,,,
Egyptian_clover_berseem_clover,Trifolium alexandrinum,5650,A,T,A,1,1,2,A T,Palearctic,0,0,8,19/03/2021,,,,
Sicomore_fig,Ficus sycomorus,5900,F,N,F,2,5,7,V TB M T D I F,Afrotropic,0,0,19,19/03/2021,,,,
